concurrency,run,tag,strategy,correct,wrong_rpc,unattributed,precision,recall,f1,wrong_rate,unattributed_rate
2,3,c002-r003,time_window_5ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,3,c002-r003,time_window_10ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,3,c002-r003,time_window_50ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,3,c002-r003,time_window_100ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,3,c002-r003,time_window_500ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,3,c002-r003,time_window_1000ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,3,c002-r003,pid_tid,0,2,6,0.0000,0.0000,0.0000,0.2500,0.7500
2,4,c002-r004,pid,4,4,0,0.5000,0.5000,0.5000,0.5000,0.0000
2,4,c002-r004,time_window_5ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,4,c002-r004,time_window_10ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,4,c002-r004,time_window_50ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,4,c002-r004,time_window_100ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,4,c002-r004,time_window_500ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,4,c002-r004,time_window_1000ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,4,c002-r004,time_window_1ms,1,0,7,1.0000,0.1250,0.2222,0.0000,0.8750
2,4,c002-r004,pid_tid,0,2,6,0.0000,0.0000,0.0000,0.2500,0.7500
2,5,c002-r005,pid,4,4,0,0.5000,0.5000,0.5000,0.5000,0.0000
2,5,c002-r005,pid_tid,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,5,c002-r005,time_window_5ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,5,c002-r005,time_window_10ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,5,c002-r005,time_window_50ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,5,c002-r005,time_window_100ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,5,c002-r005,time_window_500ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,5,c002-r005,time_window_1000ms,2,0,6,1.0000,0.2500,0.4000,0.0000,0.7500
2,5,c002-r005,time_window_1ms,1,0,7,1.0000,0.1250,0.2222,0.0000,0.8750
4,1,c004-r001,time_window_1ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,1,c004-r001,time_window_5ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,1,c004-r001,time_window_10ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,1,c004-r001,time_window_50ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,1,c004-r001,time_window_100ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,1,c004-r001,time_window_500ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,1,c004-r001,time_window_1000ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,1,c004-r001,pid,4,12,0,0.2500,0.2500,0.2500,0.7500,0.0000
4,1,c004-r001,pid_tid,2,3,11,0.4000,0.1250,0.1905,0.1875,0.6875
4,2,c004-r002,pid_tid,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,2,c004-r002,time_window_1ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,2,c004-r002,time_window_5ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,2,c004-r002,time_window_10ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
